Campaign_ID,Campaign_Name,Campaign_Type,Campaign_Cost
1,e-enable visionary action-items,Email Campaign,23164
2,productize e-business architectures,Digital Ads,103973
3,enable world-class functionalities,Email Campaign,124041
4,re-intermediate bleeding-edge infrastructures,Trade Show,113966
5,scale collaborative content,Email Campaign,91545
6,strategize frictionless metrics,Email Campaign,24552
7,syndicate bricks-and-clicks niches,Webinar,29417
8,transform global info-mediaries,Email Campaign,127525
9,harness scalable web services,Email Campaign,92055
10,optimize distributed bandwidth,Digital Ads,98270
11,envisioneer distributed functionalities,Digital Ads,137865
12,aggregate cross-platform architectures,Digital Ads,90442
13,leverage one-to-one niches,Webinar,60031
14,evolve dot-com architectures,Email Campaign,41438
15,cultivate cutting-edge paradigms,Email Campaign,63856
